Netflix, Inc.;;;;;;;;;;;;;;;;;;
Streaming Revenue and Membership Information by Region;;;;;;;;;;;;;;;;;;
(unaudited);;;;;;;;;;;;;;;;;;
(in thousands, except for average revenue per membership and percentages);;;;;;;;;;;;;;;;;;
;;;;;;As of / Three Months Ended;;;;As of / Year Ended;As of / Three Months Ended;;;;As of / Year Ended;As of / Three Months Ended;;As of / Six Months Ended
;;;;;;March 31,;June 30,;September 30,;December 31,;December 31,;March 31,;June 30,;September 30,;December 31,;December 31,;March 31,;June 30,;June 30,
;;;;;;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2023;2023;2023
;;;;;;;;;;;;;;;;;;
United States and Canada (UCAN);;;;;;;;;;;;;;;;;;
;Revenues;;;;; $762.414 ; $799.480 ; $834.002 ; $870.705 ; $3.266.601 ; $916.754 ; $907.719 ; $889.037 ; $856.711 ; $3.570.221 ; $933.523 ; $919.273 ; $1.852.796 
;Paid net membership additions;;;;;1.361;1.022;2.176;2.581;7.140;1.087;1.080;1.429;1.795;5.391;1.455;1.068;2.523
;Paid memberships at end of period;;;;;26.853;27.875;30.051;32.632;32.632;33.719;34.799;36.228;38.023;38.023;39.478;40.546;40.546
;Average paying memberships;;;;;26.173;27.364;28.963;31.342;28.461;33.176;34.259;35.514;37.126;35.019;38.751;40.012;39.382
;Average revenue per membership (2);;;;;$9,71 ;$9,74 ;$9,60 ;$9,26 ;$9,56 ;$9,21 ;$8,83 ;$8,34 ;$7,69 ;$8,50 ;$8,03 ;$7,66 ;$7,84 
;% change as compared to prior-year period;;;;;9%;9%;4%;-1%;5%;-5%;-9%;-13%;-17%;-11%;-13%;-13%;-13%
;Constant currency % change as compared to prior-year period*;;;;;3%;1%;2%;2%;2%;1%;-2%;-3%;-4%;-2%;-6%;-7%;-6%
;;;;;;;;;;;;;;;;;;
;;;;;(1) Excludes DVD revenues of $182 million, $146 million, $29 million and $60 million for the years ended December 31, 2021, 2022, and the three and six months ended June 30, 2023, respectively.  Total US revenues for the years ended December 31, 2021, 2022, and the three and six months ended June 30, 2023 were $12.1 billion, $13.0 billion, $3.3 billion and $6.6 billion, respectively.;;;;;;;;;;;;;
;;;;;(2) Average revenue per membership (ARM) is defined as streaming revenue divided by the average number of streaming paid memberships divided by the number of months in the period. These figures do not include sales taxes or VAT.;;;;;;;;;;;;;
;;;;;* The company believes that constant currency information is useful in analyzing the underlying trends in average revenue per membership.  In order to exclude the effect of foreign currency rate fluctuations on average revenue per membership, the Company estimates the current period revenue assuming foreign exchange rates had remained constant with foreign exchange rates from each of the corresponding months of the prior-year period.;;;;;;;;;;;;;
